class,nodes,distance
2,1199443139,3559.507
2,1199443141,3441.239
2,49220842,2880.646
2,49220849,3005.623
2,1718881529,2096.656
2,49220883,2371.251
2,49220885,2458.452
2,49220890,2750.79
2,1283132773,2995.789
2,1283132828,2094.447
2,48958990,2341.82
2,49483309,2466.625
2,49483310,2496.711
2,49417784,2509.669
2,49483373,3197.271
2,316542598,2849.647
2,48894000,3456.037
2,49090688,2423.681
2,49090689,2563.74
2,3643150615,2935.407
2,3643150616,2955.914
2,3643150620,2883.821
2,49353188,2427.857
2,49353189,2515.875
2,49353199,3021.634
2,49353201,3105.15
2,49353202,3183.613
2,49091135,3494.705
2,49091136,3121.545
2,49091137,3210.607
2,49091165,1391.042
2,49156920,3123.966
2,49156922,3214.217
2,1188762457,2786.365
2,1188762469,2852.949
2,1188762471,2607.541
2,1188762474,2698.063
2,1188762476,2931.915
2,1742083115,2446.049
2,49616180,3459.344
2,60495209,2321.582
2,60495214,1543.424
2,60495224,1893.321
2,1188763120,2500.839
2,1188763123,2330.587
2,1188763122,2417.401
2,1188763128,1686.551
2,1188763131,1802.506
2,1188763132,2246.111
2,1188763133,2011.538
2,1188763134,2585.517
2,1188763136,1695.227
2,1188763137,1906.487
2,1188763138,2115.131
2,49223240,3296.787
2,49223242,3261.426
2,49223246,3474.541
2,49223247,3581.477
2,49354494,2316.091
2,48895860,1645.45
2,48895866,1903.876
2,49223545,3591.198
2,49223546,3525.372
2,49223557,3197.795
2,49223562,3090.475
2,49223570,2832.783
2,49223573,2883.573
2,49223575,2967.306
2,49223586,3075.966
2,49223601,3022.389
2,49092538,3109.863
2,48895950,3301.97
2,48895951,3317.614
2,49069391,2648.672
2,5886974116,3063.708
2,5886974117,3048.393
2,1762662590,2142.493
2,1762662592,2057.044
2,1762662594,2134.506
2,1762662600,2090.264
2,1762662602,2138.985
2,846535202,3167.192
2,846535239,3284.824
2,49093318,1936.123
2,49093319,1987.836
2,49093321,2164.895
2,49093322,1793.335
2,49093323,1577.054
2,1921850146,1440.533
2,49290343,3269.072
2,49290346,3339.91
2,49290353,3502.547
2,3932167492,3122.715
2,3378978170,2014.871
2,3378978176,2852.425
2,3378978177,2404.03
2,316743092,2580.04
2,49094093,2239.497
2,49094095,2010.75
2,49094096,1908.778
2,49094097,1967.142
2,49094101,1828.468
2,49094104,2413.413
2,49094109,2710.296
2,49094110,2645.504
2,49094111,2586.44
2,316481090,1395.867
2,49421918,2456.471
2,49421919,2657.431
2,49749678,2881.095
2,49618893,2880.018
2,435822630,2582.876
2,49356941,3527.249
2,49356949,3588.338
2,1188766164,2459.742
2,1188766170,2426.023
2,48898586,2065.145
2,49095399,3451.037
2,49095400,3515.546
2,49357685,2152.35
2,1214981043,3332.271
2,49358118,2665.223
2,48899370,1155.989
2,49358121,2644.557
2,49358123,2742.484
2,48899379,1608.012
2,49358169,3374.988
2,49358170,3440.81
2,49096208,2331.145
2,49096209,2229.832
2,49096217,1864.617
2,49096228,2583.064
2,49096241,3013.225
2,2304485442,2513.089
2,49096627,2954.315
2,49096643,2051.556
2,49096672,3454.966
2,1199384576,3598.653
2,49096795,2096.782
2,49096797,2204.734
2,49096798,2257.873
2,49096799,2288.746
2,49096800,2290.942
2,49096805,2536.428
2,49096806,2618.234
2,49096808,2957.474
2,49096809,3043.941
2,49096810,3124.277
2,49096811,3207.041
2,49096812,3286.255
2,49096813,3363.319
2,49096815,3477.508
2,48900269,1291.689
2,48900270,1834.588
2,48900511,1672.61
2,48900514,1446.554
2,48900519,1361
2,48900524,1384.181
2,279718322,2638.893
2,49621833,2671.881
2,49687513,3590.375
2,350366785,2360.891
2,2430676120,2380.446
2,2430676127,2544.043
2,2430676167,2359.721
2,2430676177,2219.329
2,3506384352,2936.408
2,3506384353,3266.576
2,49426226,3509.342
2,49426231,3397.944
2,49426229,3428.505
2,1339371327,2457.239
2,1339371343,2251.487
2,316551023,1997.667
2,316551029,1984.294
2,49229717,3358.712
